Name,fs,RAh,RAm,RAs,DE_,DEd,DEm,DEs,GLON,GLAT,Vmag,b_y,Hbeta,E(b-y),logTe,[Fe/H],Dist,VMAG,dVMag,Age,clAge,chAge,mass,clmass,chmass,RVel,meRVel,e_RVel,o_RVel,dT,P(chi2),vsini,pmRA,pmDE,e_pm,plx,e_plx,UVel,VVel,WVel,Rgal,zgal,Rmin,Rmax,ecc,zmax,RA,DEC,X,Y,Z,ObjType,SpecType,Teff,R_xy,w_vmax
HD 1237, ,0,16,12.6,-,79,51,4,305,-37,6.586,0.46,0.0,0.0,3.726,-0.12,18,5.36,0.47,0.0,8.8,0.0,0.85,0.82,0.89,-6.1,0.2,0.3,4,3987,0.246,6,434,-58,1,56.8,0.5,-33,-16,3,7.992,-0.011,7.06,8.32,0.08,0.15,4.052499999999999,-79.85111111111111,8.245412,-11.775672,-10.83267,PM*,G,5321.082592667942,14.375439822882916,4.158902129764468e-06
HD 1320, ,0,17,16.5,-,43,51,9,323,-72,7.956,0.406,2.575,0.0,3.747,-0.34,37,5.14,0.43,0.0,0.0,0.0,0.84,0.81,0.93,11.2,0.2,0.2,4,3337,0.585,3,396,-16,1,27.3,0.8,-56,-37,-19,7.991,-0.035,5.84,8.54,0.19,0.19,4.31875,-43.8525,9.131302,-6.8809285,-35.18909,PM*,G,5584.701947368307,11.433628174700987,3.0688714742461266e-06
HD 1388, ,0,17,58.8,-,13,27,20,92,-74,6.512,0.381,2.601,0.003,3.765,-0.08,26,4.42,0.53,7.8,4.2,11.2,1.01,0.96,1.06,27.8,0.2,0.3,5,3592,0.27,4,400,-1,2,38.2,0.9,-43,-16,-33,8.0,-0.025,6.92,8.59,0.11,0.44,4.494999999999999,-13.455555555555556,-0.25010955,7.1622076,-24.992804,PM*,G,5821.032177708716,7.166573274061947,1.1349551513000262e-06
HD 1461, ,0,18,41.8,-,8,3,10,99,-69,6.463,0.422,2.598,0.0,3.749,0.15,23,4.62,0.51,9.6,5.4,13.1,1.03,0.95,1.08,-10.5,0.1,0.2,15,5845,0.873,2,419,-145,1,42.7,0.9,-32,-39,-1,8.001,-0.022,6.0,8.13,0.15,0.09,4.674166666666666,-8.052777777777779,-1.2894052,8.140985,-21.47235,PM*,G,5610.479760324706,8.242463378142,1.4961622761605684e-06
HD 1591,*,0,19,48.9,-,60,54,43,310,-56,7.964,0.352,0.0,0.0,3.777,-0.22,61,4.02,0.77,6.1,4.0,9.6,1.05,0.99,1.1,3.6,0.6,0.8,2,1063,0.08,8,139,7,2,16.3,0.8,-34,-20,-9,7.978,-0.051,6.88,8.28,0.09,0.06,4.953749999999999,-60.91194444444445,21.925976,-26.130367,-50.571293,PM*,G,5984.115950603199,34.110768140094194,6.530985211445702e-07
HD 2151, ,0,25,45.0,-,77,15,15,305,-40,2.806,0.386,2.6,0.001,3.764,0.01,7,3.44,1.46,5.4,4.9,5.9,1.17,1.16,1.22,22.4,0.2,0.4,5,1673,0.115,4,2222,323,1,133.8,0.5,-61,-46,-31,7.997,-0.005,5.44,8.57,0.22,0.4,6.4375,-77.25416666666666,3.0756946,-4.392548,-4.499513,PM*,G,5807.644175213118,5.362310621809702,2.9307495053577235e-07
HD 2550, ,0,29,23.5,+,40,50,30,118,-22,7.961,0.409,0.0,0.0,3.753,0.0,58,4.14,1.02,10.0,7.9,11.8,1.03,0.98,1.07,-25.1,0.3,0.4,2,70,0.227,2,-18,-61,1,17.2,0.9,20,-23,-6,8.026,-0.022,6.7,8.4,0.11,0.03,7.347916666666666,40.84166666666667,-25.246616,47.481976,-21.727182,PM*,G,5662.3928903825345,53.77666468196063,7.70865661620565e-07
HD 2567, ,0,29,16.1,-,5,54,37,108,-68,7.786,0.391,2.606,0.012,3.763,-0.02,56,4.05,0.89,8.3,5.7,10.3,1.04,1.0,1.1,9.6,0.2,0.3,4,1882,0.43,4,-111,-222,2,17.9,1.0,53,-27,-29,8.006,-0.052,6.03,9.16,0.21,0.4,7.317083333333333,-5.910277777777778,-6.482548,19.951237,-51.922295,PM*,G,5794.286964268809,20.977971455850373,6.80735971699978e-07
HD 3459, ,0,37,18.9,-,35,25,12,322,-81,8.274,0.402,2.59,-0.008,3.756,-0.09,114,3.0,2.17,4.2,3.2,5.5,1.23,1.16,1.33,-10.2,0.3,0.5,3,1536,0.054,4,62,6,2,8.8,1.1,-31,-14,8,7.986,-0.112,7.21,8.31,0.07,0.26,9.32875,-35.419999999999995,14.053017,-10.979417,-112.59647,PM*,G,5701.642722807472,17.833532585053867,1.5958008804838936e-07
HD 3611, ,0,38,8.3,-,66,2,34,305,-51,7.369,0.386,2.605,0.01,3.761,-0.42,104,2.28,3.05,2.3,2.0,2.7,1.43,1.37,1.51,3.2,0.2,0.3,3,379,0.311,6,122,52,2,9.6,0.6,-60,-15,-22,7.962,-0.081,6.6,9.0,0.15,0.25,9.534583333333332,-66.04277777777777,37.54018,-53.612946,-80.82318,PM*,G,5767.664633922509,65.44931698063255,5.901721349211037e-08
HD 3823, ,0,40,25.6,-,59,27,16,306,-58,5.907,0.361,2.607,0.006,3.771,-0.43,25,3.88,1.23,8.9,7.6,10.4,0.99,0.96,1.03,2.8,0.2,0.3,3,3329,0.457,3,883,443,1,39.3,0.6,-113,-18,-35,7.992,-0.021,5.73,10.79,0.31,0.56,10.106666666666664,-59.45444444444445,7.786966,-10.717844,-21.201202,PM*,G,5902.010801718442,13.247981713962773,5.382433841338653e-07
HD 4113, ,0,43,12.5,-,37,58,57,311,-79,7.9,0.441,0.0,0.0,3.741,0.16,44,4.68,0.63,11.5,7.6,15.8,0.96,0.91,1.04,4.0,0.2,0.4,4,1885,0.167,2,51,-111,2,22.7,1.0,4,-25,-1,7.994,-0.043,6.74,8.08,0.09,0.1,10.802083333333332,-37.9825,5.5080066,-6.33624,-43.191597,PM*,G,5508.076964054036,8.395598492260309,1.6254690339100712e-06
HD 4208, ,0,44,26.6,-,26,30,56,54,-88,7.783,0.412,2.574,0.0,3.746,-0.22,33,5.21,0.29,0.0,0.0,0.0,0.86,0.82,0.95,56.2,0.2,0.4,4,957,0.158,3,315,148,2,30.6,1.1,-53,-4,-57,7.999,-0.033,7.14,9.35,0.13,1.1,11.110833333333332,-26.515555555555554,0.6769424,0.9317313,-32.979897,PM*,G,5571.857489319298,1.151683215262535,3.3804825648124227e-06
HD 4308, ,0,44,39.2,-,65,38,58,304,-51,6.553,0.408,2.578,0.0,3.748,-0.34,22,4.86,0.69,17.1,9.6,0.0,0.85,0.83,0.9,95.1,0.2,0.1,4,799,0.981,3,158,-741,2,45.8,0.6,50,-109,-30,7.992,-0.017,2.98,8.4,0.48,0.4,11.16333333333333,-65.64944444444446,7.742053,-11.478066,-17.097212,PM*,G,5597.576014951104,13.845049070160966,2.0843886533432196e-06
HD 4406, ,0,46,51.7,+,46,21,49,122,-17,7.479,0.456,0.0,0.0,3.734,-0.01,139,1.77,3.81,1.2,0.9,1.5,1.76,1.71,1.91,-0.1,0.2,0.3,2,618,0.359,5,-25,-23,1,7.2,0.9,16,5,-14,8.071,-0.039,7.71,9.2,0.09,0.12,11.715416666666666,46.36361111111111,-70.440254,112.727936,-40.639664,*,G,5420.008904016238,132.92635908052478,2.9172839345333845e-08
HD 4649, ,0,48,33.2,+,0,22,55,121,-62,8.164,0.406,2.604,0.021,3.767,0.14,78,3.63,1.09,5.5,3.1,6.7,1.21,1.13,1.29,-26.7,0.3,0.3,2,429,0.391,3,63,-26,1,12.9,1.0,-9,-30,19,8.019,-0.069,6.6,8.02,0.1,0.44,12.138333333333334,0.3819444444444444,-18.86007,31.388426,-68.86991,PM*,G,5847.900841444806,36.61878653317687,3.81047134770222e-07
HD 4915, ,0,51,10.8,-,5,2,21,123,-68,6.983,0.416,2.58,0.0,3.744,-0.26,22,5.26,0.31,0.0,0.0,0.0,0.85,0.81,0.94,-3.9,0.1,0.2,5,3996,0.795,3,264,-119,2,45.3,1.0,-16,-26,-1,8.004,-0.02,6.77,8.02,0.08,0.09,12.794999999999998,-5.039166666666667,-4.4885592,6.9117746,-20.398045,PM*,G,5546.25712957911,8.241346480588582,3.6222523292156442e-06
HD 5065, ,0,52,51.7,+,40,14,44,123,-23,6.767,0.378,2.6,-0.003,3.765,-0.28,42,3.65,1.48,7.6,6.6,8.5,1.06,1.02,1.11,-74.3,0.2,0.1,2,134,0.78,4,-90,53,1,23.8,0.9,50,-44,38,8.021,-0.016,5.5,8.88,0.23,0.97,13.215416666666666,40.24555555555556,-21.056402,32.424015,-16.410707,PM*,G,5821.032177708716,38.66120554128943,3.917226648981836e-07
HD 5078, ,0,52,32.0,-,20,59,46,125,-84,7.85,0.418,2.601,0.03,3.764,0.06,70,3.48,1.38,5.3,4.5,6.5,1.18,1.12,1.27,21.4,0.2,0.3,5,3029,0.333,4,130,-88,2,14.2,1.2,-22,-45,-25,8.004,-0.07,5.76,8.04,0.17,0.28,13.133333333333333,-20.996111111111112,-4.196853,5.9937267,-69.61653,PM*,G,5807.644175213118,7.316989466843716,3.09726739238131e-07
HD 5372, ,0,56,17.3,+,52,29,28,124,-10,7.535,0.406,0.0,0.0,3.756,0.05,41,4.47,0.58,8.9,4.9,12.2,1.0,0.95,1.08,0.3,0.2,0.2,3,881,0.615,4,201,1,2,24.4,0.9,-33,-21,1,8.022,-0.007,6.87,8.28,0.09,0.12,14.072083333333332,52.49111111111111,-22.578594,33.474148,-7.1195755,PM*,G,5701.642722807472,40.377115936415514,1.2161263551968444e-06
HD 5911, ,1,0,28.0,-,19,23,21,138,-82,8.01,0.415,2.592,0.02,3.757,-0.2,81,3.39,1.85,6.1,4.8,7.5,1.12,1.07,1.21,4.8,0.2,0.2,4,3649,0.749,3,128,-56,2,12.4,1.1,-29,-44,-6,8.008,-0.08,5.77,8.1,0.17,0.08,15.116666666666667,-19.389166666666664,-8.377487,7.5431247,-80.211716,PM*,G,5714.786366718672,11.273021718905676,2.7351345804337536e-07
HD 5975, ,1,1,1.7,-,4,38,54,129,-67,7.341,0.349,2.606,-0.006,3.777,-0.32,40,4.31,0.57,6.9,3.8,9.0,1.0,0.95,1.06,27.5,0.2,0.5,7,2115,0.132,5,0,-55,2,24.8,0.9,-2,1,-29,8.01,-0.037,7.93,8.52,0.04,0.36,15.25708333333333,-4.6483333333333325,-9.835804,12.146209,-36.82019,PM*,G,5984.115950603199,15.629249290931954,9.74941821268923e-07
HD 6067, ,1,1,47.1,-,19,25,9,141,-82,8.239,0.395,2.593,0.001,3.76,-0.03,60,4.34,0.68,8.7,5.3,12.1,1.01,0.96,1.07,-2.2,0.2,0.3,2,1004,0.387,3,110,-165,2,16.6,1.1,0,-56,-4,8.007,-0.06,5.22,8.03,0.21,0.08,15.446249999999996,-19.41916666666667,-6.4894686,5.2550697,-59.416084,PM*,G,5754.399373371566,8.350386833090072,1.0161988529530514e-06
HD 6103, ,1,2,6.9,-,19,40,10,142,-82,8.262,0.381,2.612,0.024,3.776,-0.18,80,3.64,1.14,6.3,4.7,7.7,1.1,1.05,1.16,5.0,0.3,0.1,2,1228,0.944,5,128,-55,2,12.5,1.0,-29,-44,-6,8.009,-0.079,5.8,8.1,0.17,0.08,15.52875,-19.669444444444444,-8.773592,6.8546815,-79.22144,PM*,G,5970.352865838366,11.133848168935405,3.863480284458676e-07
HD 6107, ,1,1,19.0,-,60,51,36,301,-56,6.9,0.41,2.586,0.006,3.75,-0.22,45,3.63,1.78,7.6,6.9,8.3,1.07,1.04,1.12,31.1,0.1,0.2,4,3330,0.665,3,73,97,2,22.2,0.6,-15,-9,-37,7.987,-0.037,7.78,8.06,0.02,0.5,15.329166666666662,-60.86,12.960249,-21.569489,-37.306694,PM*,G,5623.413251903491,25.16368235896968,3.81047134770222e-07
HD 6236, ,1,2,43.9,-,47,17,15,297,-70,7.699,0.376,2.613,0.007,3.768,-0.02,49,4.25,0.58,6.7,3.7,9.5,1.05,0.99,1.11,18.1,0.2,0.3,5,3031,0.384,4,-39,-131,2,20.4,0.8,27,-24,-7,7.992,-0.046,6.52,8.51,0.13,0.05,15.682916666666666,-47.2875,7.608417,-14.932369,-46.044937,PM*,G,5861.3816451402845,16.758987236645595,8.973847818712385e-07
HD 6250, ,1,4,16.6,+,54,12,15,125,-9,6.833,0.342,2.621,0.001,3.783,-0.36,62,2.87,1.91,3.7,3.4,4.1,1.25,1.17,1.38,-39.1,0.6,0.9,2,132,0.038,7,-136,-61,2,16.1,0.7,56,-12,-14,8.035,-0.009,6.49,9.67,0.2,0.11,16.069166666666664,54.20416666666667,-35.12392,50.162148,-9.698937,PM*,G,6067.363295885053,61.236678944406385,1.333456032228426e-07
HD 6312, ,1,5,26.4,+,63,43,16,124,1,8.276,0.382,2.589,0.004,3.76,-0.38,55,4.58,0.74,11.6,6.8,16.5,0.87,0.83,0.97,-28.8,0.2,0.3,3,425,0.599,4,228,-162,3,18.2,1.0,-35,-58,-39,8.031,0.001,5.17,8.15,0.22,0.58,16.36,63.72111111111112,-30.750921,45.590122,0.9598823,PM*,G,5754.399373371566,54.991620873757896,1.4157243451367577e-06
HD 6434, ,1,4,40.1,-,39,29,17,291,-77,7.733,0.383,2.586,0.009,3.757,-0.53,40,4.71,0.78,13.3,7.0,0.0,0.84,0.81,0.91,22.9,0.2,0.5,6,4989,0.036,2,-168,-527,1,24.8,0.9,85,-67,-4,7.997,-0.039,4.24,9.38,0.38,0.06,16.16708333333333,-39.48805555555556,3.2246087,-8.400396,-38.974804,PM*,G,5714.786366718672,8.998041688330396,1.6942547049835658e-06
HD 6512, ,1,6,12.6,+,13,15,9,128,-49,8.15,0.407,2.613,0.022,3.769,0.3,48,4.65,-0.14,1.2,0.0,4.8,1.09,1.06,1.12,9.9,0.2,0.2,4,1886,0.795,3,164,-17,2,20.8,1.0,-33,-19,-8,8.019,-0.037,6.97,8.31,0.09,0.04,16.552500000000002,13.2525,-19.387693,24.815117,-36.22606,PM*,G,5874.893525297769,31.490834723549927,1.559476017642916e-06
HD 6558, ,1,6,25.7,-,0,44,58,131,-63,8.202,0.376,2.634,0.027,3.787,0.33,74,3.75,0.36,2.0,0.4,3.9,1.26,1.23,1.31,10.7,0.2,0.1,2,1004,0.754,7,68,-36,1,13.6,1.0,-17,-19,-14,8.022,-0.066,7.16,8.05,0.06,0.12,16.607083333333332,-0.7494444444444444,-22.040497,25.354696,-65.93449,PM*,G,6123.503917247734,33.59529903512432,4.497577963252594e-07
HD 6594, ,1,6,17.4,-,34,47,51,281,-82,8.124,0.378,2.603,0.003,3.768,-0.02,79,3.63,1.2,6.1,4.6,7.5,1.13,1.08,1.19,-12.8,0.2,0.1,2,339,0.704,5,-8,-7,2,12.6,1.1,4,1,13,7.998,-0.079,7.82,8.63,0.05,0.33,16.572499999999998,-34.7975,2.0978818,-10.792673,-78.23118,*,G,5861.3816451402845,10.994675917538464,3.81047134770222e-07
HD 6715, ,1,8,12.4,+,21,58,37,128,-41,7.627,0.422,2.576,0.0,3.742,-0.19,32,5.07,0.49,16.2,6.7,0.0,0.86,0.83,0.92,-23.9,0.2,0.4,4,2986,0.191,1,401,-47,1,30.8,0.9,-37,-54,14,8.015,-0.021,5.32,8.17,0.21,0.34,17.051666666666662,21.97694444444444,-14.868661,19.031017,-20.993889,PM*,G,5520.774392807573,24.150707815449426,2.7859845287988294e-06
HD 6910, ,1,9,2.4,-,42,24,6,291,-74,7.865,0.398,2.628,0.04,3.786,0.42,96,2.78,1.31,1.9,1.5,2.1,1.48,1.42,1.56,-2.6,0.2,0.2,2,1441,0.623,6,32,-1,1,10.4,0.9,-12,-8,4,7.991,-0.093,7.82,8.0,0.01,0.19,17.259999999999994,-42.40166666666666,9.48284,-24.703653,-92.28112,*,G,6109.420249055721,26.461192830445285,1.1775482201528085e-07
HD 7134, ,1,11,32.0,-,12,50,35,142,-75,7.491,0.364,2.588,-0.016,3.77,-0.28,41,4.45,0.56,8.1,4.5,11.9,0.97,0.92,1.03,-17.1,0.2,0.3,4,3649,0.492,2,-31,-69,2,24.6,0.9,16,-10,12,8.008,-0.039,7.28,8.53,0.08,0.31,17.883333333333333,-12.843055555555557,-8.3620405,6.5331426,-39.60296,PM*,G,5888.43655355589,10.611582047723847,1.182983535779732e-06
HD 7678, ,1,15,45.0,-,53,42,56,295,-63,8.255,0.408,2.606,0.015,3.751,-0.09,48,4.85,0.43,11.0,3.5,17.7,0.91,0.86,1.0,-0.8,0.2,0.3,4,1669,0.578,4,116,26,2,20.8,0.9,-25,-11,1,7.991,-0.043,7.45,8.22,0.05,0.12,18.9375,-53.71555555555556,9.209503,-19.749847,-42.768314,PM*,G,5636.376558259543,21.791544278238245,2.055789768874886e-06
HD 7727, ,1,16,59.0,-,2,16,44,138,-64,6.535,0.361,2.613,0.004,3.774,-0.19,30,4.17,0.67,6.6,4.3,9.8,1.03,0.98,1.09,5.5,0.1,0.2,6,3997,0.87,5,259,-142,1,33.7,0.8,-21,-35,-10,8.01,-0.027,6.29,8.05,0.12,0.05,19.24583333333333,-2.278888888888889,-9.773197,8.799829,-26.963821,PM*,G,5942.921586155727,13.151135693545635,8.034867148279148e-07
HD 8004, ,1,20,36.9,+,54,57,44,127,-8,7.211,0.37,0.0,0.0,3.769,-0.07,33,4.6,0.24,5.1,0.0,10.1,1.01,0.95,1.09,-8.2,0.1,0.3,12,3663,0.791,4,-92,-82,2,30.1,0.9,16,0,-13,8.02,-0.004,7.56,8.89,0.08,0.09,20.15375,54.96222222222222,-19.666622,26.098482,-4.5927124,PM*,G,5874.893525297769,32.678843057782935,1.4553877004550159e-06
HD 8076, ,1,19,33.3,-,39,21,45,279,-76,7.651,0.395,2.607,0.013,3.757,-0.11,39,4.69,0.47,9.7,4.4,14.6,0.95,0.88,1.02,2.3,0.2,0.1,4,3329,0.919,4,-3,51,2,25.6,0.9,-5,7,-4,7.999,-0.038,7.98,8.83,0.05,0.06,19.88875,-39.3625,1.4759526,-9.318793,-37.841534,PM*,G,5714.786366718672,9.434953049925355,1.648081560643825e-06
HD 8100, ,1,21,3.9,+,38,2,3,129,-24,7.839,0.402,2.604,0.018,3.756,-0.1,50,4.37,0.8,10.9,7.2,14.0,0.97,0.92,1.03,16.6,0.2,0.3,2,1004,0.392,2,278,16,2,20.2,1.2,-62,-25,4,8.029,-0.021,6.26,8.92,0.18,0.18,20.26625,38.03416666666666,-28.745636,35.497913,-20.336832,PM*,G,5701.642722807472,45.67727461659753,1.0592017761624506e-06
HD 8262, ,1,22,17.8,+,18,40,57,133,-44,6.965,0.402,2.6,0.017,3.752,-0.27,26,4.93,0.48,13.0,4.9,0.0,0.87,0.83,0.94,5.4,0.1,0.3,8,5186,0.624,4,557,-4,1,39.1,0.8,-56,-37,4,8.013,-0.018,5.85,8.57,0.19,0.17,20.574166666666663,18.6825,-12.755302,13.678388,-18.06112,PM*,G,5649.369748123023,18.70283474208517,2.296036038019654e-06
HD 8306, ,1,19,1.7,-,77,1,50,301,-40,7.867,0.348,2.639,0.024,3.794,-0.08,74,3.43,0.85,3.1,2.5,3.6,1.26,1.18,1.31,22.3,0.2,0.1,2,261,0.965,5,129,22,2,13.6,0.6,-31,-37,-15,7.971,-0.047,6.06,8.1,0.14,0.13,19.75708333333333,-77.03055555555555,29.196102,-48.5905,-47.56628,PM*,G,6223.002851691595,56.68729189372521,2.89053811465814e-07
HD 8406, ,1,23,0.8,-,16,29,14,159,-77,7.93,0.415,2.59,0.016,3.745,-0.26,37,5.09,0.46,14.9,4.7,0.0,0.85,0.82,0.92,-8.3,0.2,0.2,6,3120,0.846,2,-137,-177,2,27.0,1.0,38,-12,-1,8.008,-0.036,6.78,9.11,0.15,0.1,20.75333333333333,-16.487222222222222,-7.770366,2.9827638,-36.051693,PM*,G,5559.042572704037,8.323188551303307,2.8640375019334002e-06
HD 8535, ,1,23,37.2,-,41,16,11,280,-74,7.701,0.36,2.616,0.01,3.774,-0.27,56,3.95,0.96,8.6,5.7,10.1,1.02,0.98,1.08,2.4,0.2,0.2,5,2831,0.835,4,57,-70,1,17.8,0.8,-1,-24,4,7.997,-0.054,6.87,8.04,0.08,0.17,20.905,-41.26972222222222,2.68038,-15.201193,-53.830654,PM*,G,5942.921586155727,15.4356958238898,5.928962457240527e-07
HD 8542, ,1,24,46.8,+,20,9,31,133,-42,8.159,0.411,2.608,0.03,3.767,0.1,93,3.2,1.55,4.4,2.7,5.2,1.36,1.2,1.45,-13.4,0.3,0.5,3,2180,0.181,3,110,44,1,10.8,1.0,-38,-24,29,8.047,-0.062,6.74,8.39,0.11,0.69,21.194999999999997,20.15861111111111,-47.134586,50.54566,-62.22915,PM*,G,5847.900841444806,69.11246589600891,2.1036752640921397e-07
HD 9081, ,1,29,42.3,+,17,5,56,136,-45,8.129,0.451,0.0,0.0,3.737,0.09,84,3.51,1.93,5.8,4.3,7.4,1.23,1.19,1.26,27.9,0.4,0.6,2,1112,0.105,1,117,-6,1,11.9,1.0,-50,-16,-14,8.043,-0.059,6.82,8.81,0.13,0.12,22.42625,17.098888888888887,-42.7266,41.26061,-59.39697,PM*,G,5457.57861091271,59.39697201989424,3.2283357865705907e-07
HD 9224, ,1,31,19.5,+,29,24,47,133,-33,7.327,0.395,2.614,0.02,3.77,0.11,43,4.07,0.6,4.6,3.1,7.5,1.13,1.07,1.2,14.6,0.2,0.1,2,1003,0.964,1,180,-87,2,23.2,0.9,-33,-22,-17,8.025,-0.023,6.82,8.28,0.1,0.14,22.83125,29.413055555555555,-24.594791,26.374685,-23.41948,PM*,G,5888.43655355589,36.06283063186951,6.998076736285392e-07
HD 9280, ,1,31,13.9,-,10,53,47,155,-71,8.035,0.456,0.0,0.0,3.736,0.12,58,4.23,1.22,11.2,9.6,13.0,1.02,0.98,1.05,41.6,0.2,0.3,2,1199,0.365,2,20,36,2,17.3,1.0,-22,11,-35,8.017,-0.055,7.93,9.27,0.08,0.51,22.807916666666664,-10.896388888888888,-17.113766,7.9802814,-54.840076,*,G,5445.026528424214,18.882952044792727,8.729285552249458e-07
HD 9351, ,1,31,1.5,-,51,12,55,288,-65,7.761,0.397,2.61,0.024,3.772,0.02,86,2.98,1.72,2.8,2.4,4.2,1.4,1.28,1.47,21.7,0.2,0.3,3,1980,0.317,4,135,-71,1,11.6,0.8,-23,-62,0,7.988,-0.078,4.97,8.02,0.23,0.13,22.75625,-51.21527777777778,11.23128,-34.56631,-77.94247,PM*,G,5915.616341754737,36.34517075836211,1.5523108761915437e-07
