Name,fs,RAh,RAm,RAs,DE_,DEd,DEm,DEs,GLON,GLAT,Vmag,b_y,Hbeta,E(b-y),logTe,[Fe/H],Dist,VMAG,dVMag,Age,clAge,chAge,mass,clmass,chmass,RVel,meRVel,e_RVel,o_RVel,dT,P(chi2),vsini,pmRA,pmDE,e_pm,plx,e_plx,UVel,VVel,WVel,Rgal,zgal,Rmin,Rmax,ecc,zmax,RA,DEC,X,Y,Z,ObjType,SpecType,Teff,R_xy,w_vmax
HD 23, ,0,5,7.4,-,52,9,6,319,-64,7.552,0.366,2.626,0.015,3.77,-0.19,42,4.44,0.49,7.6,3.6,10.9,0.99,0.94,1.06,34.3,0.2,0.3,3,1767,0.309,4,-111,-131,2,23.9,0.9,40,-22,-16,7.986,-0.037,6.39,8.88,0.16,0.15,1.2808333333333333,-52.15166666666666,13.895403,-12.079091,-37.74935,PM*,G,5888.43655355589,18.411590477704255,1.1667523931790261e-06
HD 70, ,0,5,41.6,+,58,18,47,117,-4,8.221,0.395,2.582,0.01,3.752,-0.49,48,4.83,0.74,14.9,7.4,0.0,0.84,0.81,0.9,-28.4,0.2,0.4,3,727,0.287,3,65,-166,2,21.0,1.1,7,-31,-37,8.022,-0.003,6.49,8.13,0.11,0.52,1.4233333333333331,58.31305555555555,-21.738455,42.664135,-3.3483105,PM*,G,5649.369748123023,47.88307468286942,1.999763790342133e-06
HD 105, ,0,5,52.5,-,41,45,11,333,-73,7.509,0.373,2.627,0.019,3.766,-0.21,40,4.49,0.55,8.6,4.8,12.6,0.97,0.92,1.03,1.6,0.3,0.5,4,3363,0.176,15,99,-76,1,24.9,0.9,-10,-21,-2,7.989,-0.038,7.02,7.99,0.06,0.09,1.4687499999999998,-41.75305555555556,10.420206,-5.3093605,-38.25219,PM*,G,5834.451042737448,11.69487075607919,1.2501977137235027e-06
HD 299, ,0,7,52.0,+,55,34,37,117,-7,7.831,0.388,0.0,0.0,3.762,-0.04,46,4.52,0.46,8.1,3.6,11.8,0.99,0.94,1.06,1.4,0.2,0.2,3,1765,0.82,8,201,8,2,21.8,0.8,-39,-19,-6,8.021,-0.005,6.87,8.44,0.1,0.02,1.9666666666666663,55.57694444444445,-20.727894,40.680798,-5.60599,PM*,G,5780.960474057181,45.657123382798005,1.303102867201668e-06
HD 361, ,0,8,16.3,-,14,49,28,82,-74,7.045,0.388,2.598,0.004,3.758,-0.2,28,4.84,0.38,9.2,0.7,16.1,0.92,0.85,1.01,7.7,0.2,0.4,6,3621,0.154,3,-14,-10,2,36.2,1.0,2,2,-7,7.999,-0.027,7.86,8.62,0.05,0.03,2.067916666666666,-14.824444444444444,1.0741168,7.6427383,-26.915327,*,G,5727.960309858292,7.7178478620875355,2.0275832758118263e-06
HD 377, ,0,8,25.7,+,6,37,0,104,-55,7.581,0.391,2.603,0.001,3.76,-0.02,40,4.58,0.43,8.2,3.4,12.2,0.99,0.93,1.06,1.3,0.3,0.3,2,1437,0.475,13,85,-3,2,25.1,1.0,-14,-7,-4,8.006,-0.033,7.84,8.06,0.01,0.06,2.107083333333333,6.616666666666667,-5.5504274,22.26155,-32.766083,PM*,G,5754.399373371566,22.943056743275747,1.4157243451367577e-06
HD 457, ,0,8,59.6,-,39,44,13,335,-75,7.725,0.391,2.617,0.018,3.765,0.11,55,4.03,0.76,6.6,3.6,8.7,1.12,1.06,1.19,-19.4,0.2,0.1,3,1477,0.856,3,112,-17,2,18.2,0.9,-28,-16,15,7.987,-0.053,7.2,8.21,0.07,0.36,2.248333333333333,-39.73694444444445,12.901335,-6.0159945,-53.12592,PM*,G,5821.032177708716,14.23504951190038,6.621840265962693e-07
HD 700, ,0,11,24.4,+,23,49,5,111,-38,8.239,0.362,2.621,0.011,3.771,-0.25,54,4.59,0.37,7.3,0.3,11.6,0.97,0.91,1.05,4.1,0.3,0.1,2,346,0.894,4,-34,32,1,18.6,0.9,3,11,5,8.015,-0.033,7.93,9.22,0.08,0.2,2.851666666666666,23.81805555555556,-15.24948,39.726257,-33.24572,*,G,5902.010801718442,42.55258083242953,1.4354190325987634e-06
HD 804, ,0,12,28.3,+,20,14,3,111,-42,8.197,0.395,2.606,0.012,3.759,-0.05,52,4.64,0.42,8.6,3.1,12.9,0.97,0.92,1.05,-48.5,0.3,0.3,2,69,0.433,4,216,-21,1,19.4,1.0,-31,-61,21,8.014,-0.034,5.01,8.09,0.24,0.48,3.1179166666666664,20.234166666666667,-13.848602,36.076847,-34.794792,PM*,G,5741.164622073275,38.64353331174329,1.5380792045350664e-06
HD 912, ,0,13,46.5,+,64,51,53,119,2,8.075,0.349,2.617,0.002,3.779,-0.47,108,2.92,2.04,4.2,3.5,5.1,1.17,1.12,1.24,9.5,0.2,0.5,7,4752,0.243,7,78,9,2,9.3,0.8,-40,-11,-1,8.052,0.004,7.19,8.65,0.09,0.1,3.44375,64.86472222222221,-52.32754,94.40139,3.7691455,PM*,G,6011.737374832779,107.93421087117699,1.4288238812182962e-07
