Name,fs,RAh,RAm,RAs,DE_,DEd,DEm,DEs,GLON,GLAT,Vmag,b_y,Hbeta,E(b-y),logTe,[Fe/H],Dist,VMAG,dVMag,Age,clAge,chAge,mass,clmass,chmass,RVel,meRVel,e_RVel,o_RVel,dT,P(chi2),vsini,pmRA,pmDE,e_pm,plx,e_plx,UVel,VVel,WVel,Rgal,zgal,Rmin,Rmax,ecc,zmax,RA,DEC,X,Y,Z,ObjType,SpecType,Teff,R_xy,w_vmax
HD 101, ,0,5,54.7,+,18,14,6,108,-43,7.456,0.373,2.598,0.001,3.765,-0.32,38,4.55,0.61,9.4,5.4,14.2,0.94,0.87,1.0,-45.6,0.1,0.2,7,2452,0.924,2,-149,-151,1,26.2,0.8,46,-34,17,8.009,-0.026,5.86,8.84,0.2,0.41,1.4779166666666663,18.235,-8.588025,26.431232,-25.915936,PM*,F,5821.032177708716,27.79144110042603,2.995360855285657e-06
HD 268, ,0,7,22.5,-,25,21,23,41,-80,7.064,0.306,2.643,0.003,3.8,-0.37,49,3.63,0.77,3.5,2.7,4.3,1.15,1.08,1.2,8.4,0.2,0.1,2,361,0.797,9,213,-133,2,20.6,0.9,-27,-48,-18,7.994,-0.048,5.58,8.06,0.18,0.17,1.84375,-25.35638888888889,6.421645,5.582251,-48.255577,PM*,F,6309.57344480193,8.508763172930951,8.403286101222213e-07
HD 276, ,0,7,13.4,-,76,43,51,306,-40,7.556,0.271,2.677,0.006,3.821,-0.29,84,2.93,0.93,2.2,1.9,2.5,1.35,1.3,1.4,23.0,0.3,0.5,2,381,0.216,7,78,-5,2,11.9,0.6,-16,-30,-19,7.962,-0.054,6.55,7.98,0.1,0.18,1.8058333333333327,-76.73083333333334,37.822636,-52.05842,-53.994156,PM*,F,6622.165037017622,64.34773412393707,3.194840269932632e-07
HD 285, ,0,7,28.1,-,56,0,41,315,-60,7.489,0.297,2.649,0.002,3.809,-0.29,133,1.86,2.27,1.6,1.4,1.8,1.61,1.53,1.71,-0.9,0.5,0.6,2,358,0.151,13,74,24,2,7.5,0.8,-46,-9,-14,7.953,-0.116,7.05,8.78,0.11,0.16,1.867083333333333,-56.01138888888889,47.022587,-47.022602,-115.18138,PM*,F,6441.692655151775,66.49999087987135,7.285328680848555e-08
HD 400, ,0,8,40.9,+,36,37,37,113,-25,6.19,0.332,2.615,-0.011,3.787,-0.35,33,3.6,1.08,6.1,3.4,7.1,1.09,1.04,1.15,-15.2,0.1,0.3,20,4858,0.831,6,-115,-124,2,30.3,0.7,28,-10,-8,8.012,-0.014,7.03,8.84,0.11,0.02,2.170416666666666,36.62694444444445,-11.6860485,27.530603,-13.946403,PM*,F,6123.503917247734,29.908156597957706,8.062117992321641e-07
HD 447, ,0,9,4.3,+,19,55,28,110,-42,7.114,0.301,2.645,-0.006,3.81,-0.08,115,1.81,2.11,1.4,1.2,1.6,1.74,1.65,1.82,11.3,1.1,0.2,2,437,0.91,50,11,21,1,8.7,0.8,-13,11,0,8.029,-0.077,8.02,9.14,0.06,0.14,2.2679166666666664,19.924444444444447,-29.229603,80.307686,-76.95002,*,F,6456.542290346556,85.4616529340043,6.799064324121596e-08
HD 633, ,0,10,40.7,+,2,3,19,103,-59,7.514,0.313,2.643,-0.004,3.799,-0.08,55,3.81,0.35,2.9,0.8,4.2,1.19,1.14,1.25,17.0,0.3,0.1,2,734,0.955,6,-13,17,1,18.2,0.9,-1,13,-12,8.006,-0.047,7.97,9.29,0.08,0.09,2.669583333333333,2.055277777777777,-6.372208,27.601072,-47.144203,*,F,6295.061828571975,28.327093220880393,1.0775790762405527e-06
HD 693, ,0,11,15.8,-,15,28,4,82,-75,4.91,0.326,2.617,-0.008,3.789,-0.49,19,3.53,1.22,5.7,4.8,6.9,1.07,1.03,1.14,14.9,0.1,0.3,228,6678,0.961,5,-83,-271,1,52.9,0.8,19,-13,-19,7.999,-0.018,7.1,8.53,0.09,0.17,2.815833333333333,-15.467777777777778,0.68439245,4.869705,-18.35259,PM*,F,6151.7687270986835,4.917562385231325,7.318956230148521e-07
HD 739, ,0,11,44.0,-,35,7,59,347,-78,5.25,0.29,2.653,-0.01,3.811,-0.13,22,3.55,0.39,2.4,1.0,3.2,1.25,1.21,1.3,-21.1,0.3,0.0,1,0,0.0,5,169,115,1,45.8,0.7,-25,3,16,7.996,-0.021,7.83,8.77,0.06,0.4,2.9333333333333327,-35.13305555555556,4.456824,-1.0289388,-21.519247,PM*,F,6471.426157485831,4.574056757531704,7.524006289866961e-07
HD 903, ,0,13,10.0,-,43,3,54,326,-72,7.557,0.287,2.668,0.005,3.814,-0.16,68,3.39,0.51,2.3,1.4,3.0,1.28,1.22,1.33,-10.5,0.8,0.1,2,1713,0.939,27,71,-1,1,14.7,0.9,-22,-9,7,7.983,-0.065,7.55,8.19,0.04,0.22,3.291666666666666,-43.065,17.420692,-11.750412,-64.671844,PM*,F,6516.283940608428,21.013155211167312,6.031830791377278e-07
HD 905, ,0,13,30.8,+,41,2,7,115,-21,5.72,0.222,2.717,0.007,3.849,-0.26,35,3.0,0.32,1.2,0.5,1.7,1.39,1.34,1.44,-25.8,1.3,1.8,2,387,0.193,30,-123,-146,1,28.6,0.7,35,-18,-10,8.014,-0.013,6.61,8.85,0.14,0.04,3.3783333333333334,41.03527777777778,-13.809187,29.613892,-12.542878,PM*,F,7063.175542629623,32.67531553005469,3.519242145036699e-07
HD 1000, ,0,14,20.8,-,21,11,49,66,-80,6.898,0.321,2.64,0.007,3.795,-0.25,55,3.2,1.21,3.0,2.5,4.8,1.26,1.15,1.32,-13.6,0.2,0.2,3,925,0.775,9,-74,-234,2,18.2,0.9,46,-46,9,7.996,-0.054,5.39,8.68,0.23,0.27,3.586666666666666,-21.196944444444444,3.8846002,8.724956,-54.164425,PM*,F,6237.348354824191,9.55065316697115,4.6392646723063425e-07
HD 1004, ,0,14,14.7,-,55,4,10,314,-61,6.665,0.305,2.654,0.007,3.803,-0.23,46,3.34,0.87,3.0,2.5,3.4,1.25,1.18,1.29,17.4,0.4,0.3,2,1064,0.605,15,-4,-30,2,21.6,0.7,9,-11,-12,7.985,-0.041,7.36,8.31,0.06,0.08,3.56125,-55.06944444444445,15.491743,-16.042171,-40.232506,*,F,6353.309318517436,22.301241032088104,5.629232027732556e-07
